epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2986.3,0.75683,0.699,1.21492,0.89868,0.77116,0.83825,0.58478,1.02169,0.574,1.07058,0.000378437,0.000378437,0.000378437
56,3038.51,0.76423,0.68291,1.21254,0.85324,0.79989,0.82689,0.5893,1.04284,0.59825,1.06404,0.000374556,0.000374556,0.000374556
57,3090.8,0.7645,0.70545,1.21119,0.86458,0.78641,0.82871,0.60024,1.0159,0.60925,1.06064,0.000370675,0.000370675,0.000370675
58,3143.1,0.74655,0.66461,1.20361,0.87663,0.79228,0.84009,0.59662,1.04673,0.5747,1.10111,0.000366794,0.000366794,0.000366794
59,3212.36,0.73321,0.67386,1.18835,0.87295,0.76035,0.84114,0.60675,0.99551,0.58406,1.0211,0.000362914,0.000362914,0.000362914
60,3266.7,0.76098,0.67428,1.21146,0.87846,0.77244,0.83469,0.58771,1.03522,0.58487,1.07959,0.000359033,0.000359033,0.000359033
61,3330.06,0.74138,0.6522,1.1839,0.88537,0.77597,0.83329,0.59192,1.00801,0.56036,1.0596,0.000355152,0.000355152,0.000355152
62,3398.31,0.72556,0.64179,1.18752,0.84139,0.79112,0.83989,0.60645,1.00546,0.56885,1.03232,0.000351271,0.000351271,0.000351271
63,3453.87,0.72727,0.65226,1.19446,0.80572,0.82975,0.85088,0.62203,1.00273,0.55298,1.04178,0.00034739,0.00034739,0.00034739
64,3514.12,0.73228,0.64688,1.192,0.7985,0.81937,0.84625,0.63114,1.00856,0.57162,1.0504,0.00034351,0.00034351,0.00034351
65,3572.45,0.72072,0.64155,1.19064,0.88104,0.7802,0.84195,0.60885,1.01073,0.55312,1.04955,0.000339629,0.000339629,0.000339629
66,3624.24,0.72316,0.63645,1.19074,0.86855,0.7734,0.83811,0.62152,1.00276,0.58974,1.04239,0.000335748,0.000335748,0.000335748
67,3676.21,0.71038,0.62058,1.18484,0.91824,0.7802,0.8358,0.61135,1.01013,0.5618,1.03663,0.000331867,0.000331867,0.000331867
68,3728.18,0.71502,0.62452,1.17071,0.8886,0.78639,0.82908,0.59685,1.00702,0.57068,1.0464,0.000327986,0.000327986,0.000327986
69,3780.97,0.72407,0.64423,1.1708,0.85881,0.74472,0.81739,0.59518,1.0039,0.59568,1.03889,0.000324106,0.000324106,0.000324106
70,3833.25,0.70038,0.5947,1.15067,0.90277,0.77484,0.84295,0.61884,1.00544,0.56798,1.02901,0.000320225,0.000320225,0.000320225
71,3885.57,0.69955,0.5904,1.16259,0.89744,0.78433,0.838,0.60978,0.984,0.55973,1.02203,0.000316344,0.000316344,0.000316344
72,3937.57,0.70876,0.60723,1.1625,0.89086,0.78516,0.82915,0.593,1.01366,0.57472,1.03997,0.000312463,0.000312463,0.000312463
73,3990.27,0.74447,0.61161,1.18948,0.90324,0.78578,0.8512,0.62507,0.99763,0.54805,1.02694,0.000308582,0.000308582,0.000308582
74,4043.5,0.70381,0.60979,1.15873,0.83591,0.77323,0.8385,0.61961,0.98132,0.56186,1.02867,0.000304702,0.000304702,0.000304702
75,4096.46,0.69843,0.61097,1.15387,0.89012,0.79374,0.84405,0.62272,0.98055,0.54138,1.01211,0.000300821,0.000300821,0.000300821
76,4149.61,0.69369,0.57881,1.14347,0.90778,0.78921,0.84076,0.61609,1.00765,0.54857,1.04243,0.00029694,0.00029694,0.00029694
77,4202.88,0.69004,0.60245,1.16458,0.90432,0.77238,0.82265,0.602,1.00096,0.56945,1.04458,0.000293059,0.000293059,0.000293059
78,4256.82,0.68203,0.58618,1.16182,0.84588,0.79914,0.82526,0.60346,0.98652,0.56429,1.03711,0.000289178,0.000289178,0.000289178
79,4328.2,0.68921,0.58742,1.14598,0.92205,0.77912,0.84662,0.62694,0.98688,0.53971,1.02855,0.000285298,0.000285298,0.000285298
80,4389.93,0.69591,0.58146,1.15971,0.91165,0.78633,0.83545,0.61395,0.98284,0.53835,1.03093,0.000281417,0.000281417,0.000281417
81,4463.65,0.68601,0.5653,1.14044,0.88856,0.79662,0.84481,0.61299,0.98914,0.54606,1.03593,0.000277536,0.000277536,0.000277536
82,4516.28,0.66266,0.56652,1.13131,0.87521,0.79339,0.82899,0.60544,1.00554,0.55192,1.04658,0.000273655,0.000273655,0.000273655
83,4586.36,0.68007,0.5668,1.13592,0.87744,0.77108,0.82801,0.6165,0.988,0.56719,1.03824,0.000269774,0.000269774,0.000269774
84,4639.52,0.68649,0.54659,1.13061,0.89154,0.79025,0.85061,0.63172,1.00219,0.55051,1.03482,0.000265894,0.000265894,0.000265894
85,4707.95,0.68387,0.56606,1.12797,0.89385,0.78095,0.83411,0.61046,0.98045,0.57089,1.02571,0.000262013,0.000262013,0.000262013
86,4776.64,0.67133,0.55358,1.13179,0.91831,0.793,0.84018,0.6271,0.99449,0.53112,1.0377,0.000258132,0.000258132,0.000258132
87,4839.62,0.65104,0.53475,1.11461,0.86303,0.80215,0.82651,0.6053,0.99744,0.56987,1.0658,0.000254251,0.000254251,0.000254251
88,4895.93,0.66601,0.55377,1.12527,0.90495,0.76943,0.82694,0.61339,0.98205,0.54536,1.04864,0.00025037,0.00025037,0.00025037
89,4948.42,0.66324,0.55642,1.14657,0.86786,0.81116,0.84057,0.60719,1.01497,0.55609,1.07877,0.00024649,0.00024649,0.00024649
90,5002.45,0.6632,0.54842,1.13237,0.92108,0.7677,0.84067,0.62361,0.99132,0.5553,1.06084,0.000242609,0.000242609,0.000242609
91,5056.09,0.66418,0.53785,1.12849,0.89405,0.79476,0.8447,0.62559,0.97303,0.53847,1.03159,0.000238728,0.000238728,0.000238728
92,5108.33,0.64634,0.53045,1.11584,0.9017,0.7972,0.84581,0.62924,0.97236,0.5328,1.01725,0.000234847,0.000234847,0.000234847
93,5161.8,0.6417,0.51908,1.10902,0.91663,0.77652,0.85233,0.63304,0.96595,0.514,1.02299,0.000230966,0.000230966,0.000230966
94,5220.04,0.64734,0.51517,1.12493,0.90178,0.79534,0.83859,0.62277,0.96564,0.5338,1.03929,0.000227086,0.000227086,0.000227086
95,5274.02,0.63662,0.51164,1.11318,0.93012,0.77502,0.8503,0.62927,0.97859,0.5397,1.04332,0.000223205,0.000223205,0.000223205
96,5327.28,0.65486,0.53942,1.1221,0.90185,0.79894,0.84996,0.63222,0.9901,0.52876,1.07871,0.000219324,0.000219324,0.000219324
97,5381.86,0.64859,0.51,1.11056,0.91694,0.79237,0.83993,0.62497,0.98766,0.53992,1.03368,0.000215443,0.000215443,0.000215443
98,5435.93,0.65041,0.52676,1.11459,0.90848,0.78309,0.84073,0.62409,0.9748,0.5265,1.00571,0.000211562,0.000211562,0.000211562
99,5489.13,0.64516,0.51964,1.10477,0.92184,0.79289,0.84894,0.63222,0.97771,0.51345,1.03773,0.000207682,0.000207682,0.000207682
100,5542.08,0.64921,0.5065,1.10265,0.80194,0.81837,0.84547,0.63764,0.96804,0.52969,1.01364,0.000203801,0.000203801,0.000203801
101,5594.45,0.64259,0.49602,1.10817,0.89753,0.79259,0.8231,0.61675,0.96324,0.51812,1.00507,0.00019992,0.00019992,0.00019992
102,5646.89,0.63833,0.49887,1.1114,0.90475,0.80559,0.83658,0.62247,0.96541,0.522,1.01669,0.000196039,0.000196039,0.000196039
103,5700.67,0.63647,0.48971,1.10942,0.8388,0.80809,0.84599,0.63374,0.97247,0.50939,1.0239,0.000192158,0.000192158,0.000192158
104,5754.7,0.6389,0.50738,1.10622,0.81398,0.8129,0.8378,0.61877,0.9627,0.52595,1.03529,0.000188278,0.000188278,0.000188278
105,5808.73,0.61804,0.48835,1.09189,0.908,0.79896,0.83276,0.61706,0.9828,0.51818,1.06549,0.000184397,0.000184397,0.000184397
106,5864.86,0.63604,0.4921,1.09351,0.89695,0.80175,0.82789,0.61915,0.96973,0.52906,1.02155,0.000180516,0.000180516,0.000180516
107,5918.04,0.6352,0.49715,1.09888,0.80888,0.83014,0.85527,0.64166,0.97788,0.52102,1.01891,0.000176635,0.000176635,0.000176635
108,5972.25,0.61911,0.48857,1.08769,0.82632,0.8107,0.85384,0.63791,0.96192,0.51543,1.0372,0.000172754,0.000172754,0.000172754
109,6031.96,0.62374,0.49277,1.09497,0.8114,0.80561,0.84534,0.62907,0.95815,0.5118,1.02581,0.000168874,0.000168874,0.000168874
110,6092.5,0.6161,0.47146,1.08549,0.79475,0.79803,0.82487,0.61894,0.95038,0.52012,1.01503,0.000164993,0.000164993,0.000164993
111,6150.59,0.6122,0.49149,1.09904,0.87035,0.81122,0.83768,0.63424,0.94935,0.51627,1.01824,0.000161112,0.000161112,0.000161112
112,6205.51,0.61496,0.4857,1.0981,0.91617,0.78076,0.84342,0.63726,0.9419,0.50451,1.02333,0.000157231,0.000157231,0.000157231
113,6260.18,0.62334,0.48014,1.08933,0.80954,0.8344,0.8492,0.64291,0.94753,0.51113,1.00943,0.00015335,0.00015335,0.00015335
114,6314.22,0.60083,0.47481,1.08102,0.92797,0.80121,0.8433,0.63852,0.94453,0.49138,1.01939,0.00014947,0.00014947,0.00014947
115,6367.58,0.59416,0.45583,1.0719,0.90868,0.80275,0.83989,0.63353,0.94109,0.49999,1.01386,0.000145589,0.000145589,0.000145589
116,6421.24,0.61015,0.47051,1.0915,0.80693,0.81239,0.84564,0.64156,0.93718,0.50598,1.00926,0.000141708,0.000141708,0.000141708
117,6474.97,0.61007,0.47219,1.09249,0.92012,0.78485,0.85601,0.64606,0.93893,0.49654,0.99194,0.000137827,0.000137827,0.000137827
118,6529.63,0.61347,0.47382,1.0932,0.90698,0.81342,0.85541,0.64542,0.96067,0.51876,1.01383,0.000133946,0.000133946,0.000133946
119,6585.12,0.60998,0.46719,1.06598,0.81967,0.82229,0.85506,0.64766,0.94201,0.49036,1.00913,0.000130066,0.000130066,0.000130066
120,6639.33,0.61008,0.45178,1.07516,0.92063,0.79838,0.85921,0.65518,0.95046,0.50494,1.00761,0.000126185,0.000126185,0.000126185
121,6691.56,0.58885,0.44512,1.07557,0.84862,0.80058,0.85472,0.65223,0.94673,0.4948,1.02314,0.000122304,0.000122304,0.000122304
122,6751.86,0.59344,0.45074,1.07177,0.92167,0.80653,0.85521,0.64922,0.94077,0.49894,1.00495,0.000118423,0.000118423,0.000118423
123,6806.15,0.58657,0.44606,1.0724,0.77804,0.84727,0.84814,0.64082,0.92663,0.50169,0.99529,0.000114542,0.000114542,0.000114542
124,6859.54,0.59361,0.43949,1.05341,0.92916,0.80332,0.84732,0.64488,0.91981,0.48943,0.99578,0.000110662,0.000110662,0.000110662
125,6913.35,0.60376,0.44891,1.06657,0.84101,0.82565,0.86218,0.65951,0.93269,0.49467,1.00838,0.000106781,0.000106781,0.000106781
126,6966.4,0.57663,0.43099,1.06026,0.92644,0.80037,0.8418,0.64332,0.93756,0.49837,1.01417,0.0001029,0.0001029,0.0001029
127,7019.62,0.60742,0.45276,1.07103,0.92719,0.78016,0.84115,0.6391,0.94457,0.49145,1.02318,9.90192e-05,9.90192e-05,9.90192e-05
128,7075.57,0.59738,0.4362,1.05253,0.81486,0.81572,0.85329,0.6505,0.93846,0.49361,1.0199,9.51384e-05,9.51384e-05,9.51384e-05
129,7129.39,0.57137,0.42505,1.05925,0.90293,0.78228,0.84208,0.64141,0.95122,0.50568,1.02852,9.12576e-05,9.12576e-05,9.12576e-05
130,7182.9,0.57249,0.41768,1.0525,0.9044,0.79328,0.84166,0.63897,0.95127,0.5096,1.04223,8.73768e-05,8.73768e-05,8.73768e-05
131,7235.71,0.57239,0.42136,1.05119,0.90971,0.7789,0.84554,0.64507,0.94448,0.50141,1.0303,8.3496e-05,8.3496e-05,8.3496e-05
132,7288.71,0.6002,0.43375,1.04831,0.91314,0.78732,0.85287,0.6518,0.92828,0.49639,1.00909,7.96152e-05,7.96152e-05,7.96152e-05
133,7342.18,0.58726,0.42191,1.04977,0.91386,0.78973,0.85163,0.65154,0.93527,0.49954,1.01434,7.57344e-05,7.57344e-05,7.57344e-05
134,7395.82,0.57044,0.41784,1.05458,0.92092,0.79474,0.85004,0.65126,0.94085,0.50208,1.02354,7.18536e-05,7.18536e-05,7.18536e-05
135,7449.38,0.5498,0.40065,1.04662,0.89399,0.80838,0.84987,0.65233,0.93731,0.49446,1.01029,6.79728e-05,6.79728e-05,6.79728e-05
